cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
6290	5	5	Organic compounds	0.6	Benzenoids	0.4	Benzene and substituted derivatives	0.4	Benzyloxycarbonyls	0.4	Benzyloxycarbonyls	0.4	Aromatic homomonocyclic compounds	0.6
7335	5	5	Organic compounds	0.6	Benzenoids	0.4	Benzene and substituted derivatives	0.4	Benzyloxycarbonyls	0.4	Benzyloxycarbonyls	0.4	Aromatic homomonocyclic compounds	0.6
2575	S1372	1	Organic compounds	1.0	Benzenoids	1.0	Benzene and substituted derivatives	1.0	Benzyloxycarbonyls	1.0	Benzyloxycarbonyls	1.0	Aromatic homomonocyclic compounds	1.0
2576	S1373	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2577	70	3	Organic compounds	0.6666666666666666	Phenylpropanoids and polyketides	0.6666666666666666	Flavonoids	0.6666666666666666	Flavonoid glycosides	0.6666666666666666	Flavonoid C-glycosides	0.6666666666666666	Aromatic heteropolycyclic compounds	0.6666666666666666
3875	70	3	Organic compounds	0.6666666666666666	Phenylpropanoids and polyketides	0.6666666666666666	Flavonoids	0.6666666666666666	Flavonoid glycosides	0.6666666666666666	Flavonoid C-glycosides	0.6666666666666666	Aromatic heteropolycyclic compounds	0.6666666666666666
4885	70	3	Organic compounds	0.6666666666666666	Phenylpropanoids and polyketides	0.6666666666666666	Flavonoids	0.6666666666666666	Flavonoid glycosides	0.6666666666666666	Flavonoid C-glycosides	0.6666666666666666	Aromatic heteropolycyclic compounds	0.6666666666666666
258	S1374	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2580	S1375	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2581	S1376	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2582	S1377	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2583	S1378	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Quinolines and derivatives	1.0	Pyrroloquinolines	1.0	Pyrroloquinolines	1.0	Aromatic heteropolycyclic compounds	1.0
2584	S1379	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2585	S1380	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2586	S1381	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2587	S1382	1	Organic compounds	1.0	Organic oxygen compounds	1.0	Organooxygen compounds	1.0	Carbonyl compounds	1.0	Hydroxybenzaldehydes	1.0	Aromatic homomonocyclic compounds	1.0
2588	266	2	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0	Furanocoumarins	1.0	Psoralens	1.0	Aromatic heteropolycyclic compounds	1.0
2898	266	2	Organic compounds	1.0	Phenylpropanoids and polyketides	1.0	Coumarins and derivatives	1.0	Furanocoumarins	1.0	Psoralens	1.0	Aromatic heteropolycyclic compounds	1.0
259	S1383	1	Organic compounds	1.0	Benzenoids	1.0	Benzene and substituted derivatives	1.0	Phenylpropanes	1.0	Phenylpropanes	1.0	Aromatic heteromonocyclic compounds	1.0
2590	S1384	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Benzopyrans	1.0	2-benzopyrans	1.0	2-benzopyrans	1.0	Aromatic heteropolycyclic compounds	1.0
2591	S1385	1	Organic compounds	1.0	Lipids and lipid-like molecules	1.0	Fatty Acyls	1.0	Fatty acids and conjugates	1.0	Long-chain fatty acids	1.0	Aliphatic acyclic compounds	1.0
2592	S1386	1	Organic compounds	1.0	Organoheterocyclic compounds	1.0	Naphthofurans	1.0		1.0	Naphthofurans	1.0	Aliphatic heteropolycyclic compounds	1.0
2593	S1387	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2594	S1388	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2595	S1389	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2596	S1390	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2598	S1391	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2599	S1392	1	Organic compounds	1.0	Organic acids and derivatives	1.0	Carboxylic acids and derivatives	1.0	Fumonisins	1.0	Fumonisins	1.0	Aliphatic acyclic compounds	1.0
26	S1393	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
260	S1394	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2600	S1395	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2601	S1396	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2602	S1397	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2603	S1398	1	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2604	209	2	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
3698	209	2	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0	no matches	0.0
2605	75	6	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Flavonoids	0.5	Flavonoid glycosides	0.5	Flavonoid-7-O-glycosides	0.5	Aromatic heteropolycyclic compounds	0.5
2731	75	6	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Flavonoids	0.5	Flavonoid glycosides	0.5	Flavonoid-7-O-glycosides	0.5	Aromatic heteropolycyclic compounds	0.5
3239	75	6	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Flavonoids	0.5	Flavonoid glycosides	0.5	Flavonoid-7-O-glycosides	0.5	Aromatic heteropolycyclic compounds	0.5
3494	75	6	Organic compounds	0.5	Phenylpropanoids and polyketides	0.5	Flavonoids	0.5	Flavonoid glycosides	0.5	Flavonoid-7-O-glycosides	0.5	Aromatic heteropolycyclic compounds	0.5
